planned_map_id,archetype,source_type,anchor_id,trace_id,generator_type,seed,builder,input_reference,output_directory,config_hash,enabled,skip_reason,generator_parameters,extracted_parameters,parameter_extractor,trace_support,window_size_m,variant_type,offset_m,network_type,batch_target
v2_trs_haggle_one_cambridge_city_complete_conference_event_compact_seed,conference_event_compact,trace_reference_synthetic,cambridge_haggle,haggle_one_cambridge_city_complete,conference_event_compact,1091624346,trace_reference_synthetic,trace:haggle_one_cambridge_city_complete|extractor:standard_events_contact_summary_v1,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_trs_haggle_one_cambridge_city_complete_conference_event_compact_seed,2150301fb651c754,True,,"{""corridor_width_m"":12,""hall_count"":3,""inter_hall_gap_m"":50,""room_spacing_m"":25,""rooms_per_hall"":6}","{""contact_duration_count"":9010,""contact_duration_mean_s"":609.9981132075471,""contacts"":10873,""density_proxy"":8.199849170437405,""downs"":10873,""duration_seconds"":987529,""events"":21746,""extractor"":""standard_events_contact_summary_v1"",""geometry_rule"":""none_automatic; map via configured target_generators only"",""mean_degree_events"":418.1923076923077,""n_nodes"":52,""trace_id"":""haggle_one_cambridge_city_complete"",""up_down_balanced"":true,""ups"":10873}",standard_events_contact_summary_v1,,0,,0,,100
v2_trs_oviedo_asturies_er_20160808_sparse_rural_seed,rural_roads,trace_reference_synthetic,,oviedo_asturies_er_20160808,sparse_rural,2233938250,trace_reference_synthetic,trace:oviedo_asturies_er_20160808|extractor:standard_events_contact_summary_v1,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_trs_oviedo_asturies_er_20160808_sparse_rural_seed,2150301fb651c754,True,,"{""connection_radius_m"":600,""long_edge_prob"":0.3,""n_nodes"":80,""pos_noise_m"":20}","{""contact_duration_count"":2622625,""contact_duration_mean_s"":3201.682047566846,""contacts"":2622625,""density_proxy"":101.34573769224824,""downs"":2622625,""duration_seconds"":31622339,""events"":5245747,""extractor"":""standard_events_contact_summary_v1"",""geometry_rule"":""none_automatic; map via configured target_generators only"",""mean_degree_events"":23009.842105263157,""n_nodes"":228,""trace_id"":""oviedo_asturies_er_20160808"",""up_down_balanced"":false,""ups"":2623122}",standard_events_contact_summary_v1,,0,,0,,100
v2_trs_oviedo_asturies_er_20160808_disrupted_grid_seed,industrial_disrupted,trace_reference_synthetic,,oviedo_asturies_er_20160808,disrupted_grid,2779038773,trace_reference_synthetic,trace:oviedo_asturies_er_20160808|extractor:standard_events_contact_summary_v1,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_trs_oviedo_asturies_er_20160808_disrupted_grid_seed,2150301fb651c754,True,,"{""block_size_m"":80,""grid_cols"":15,""grid_rows"":15,""removal_mode"":""articulation_bias"",""removal_rate"":0.15}","{""contact_duration_count"":2622625,""contact_duration_mean_s"":3201.682047566846,""contacts"":2622625,""density_proxy"":101.34573769224824,""downs"":2622625,""duration_seconds"":31622339,""events"":5245747,""extractor"":""standard_events_contact_summary_v1"",""geometry_rule"":""none_automatic; map via configured target_generators only"",""mean_degree_events"":23009.842105263157,""n_nodes"":228,""trace_id"":""oviedo_asturies_er_20160808"",""up_down_balanced"":false,""ups"":2623122}",standard_events_contact_summary_v1,,0,,0,,100
v2_trs_oviedo_asturies_er_20160808_partitioned_bridge_seed,island_or_partitioned,trace_reference_synthetic,,oviedo_asturies_er_20160808,partitioned_bridge,2358270991,trace_reference_synthetic,trace:oviedo_asturies_er_20160808|extractor:standard_events_contact_summary_v1,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_trs_oviedo_asturies_er_20160808_partitioned_bridge_seed,2150301fb651c754,True,,"{""bridges_per_pair"":2,""intra_density"":0.6,""n_partitions"":3,""nodes_per_partition"":60}","{""contact_duration_count"":2622625,""contact_duration_mean_s"":3201.682047566846,""contacts"":2622625,""density_proxy"":101.34573769224824,""downs"":2622625,""duration_seconds"":31622339,""events"":5245747,""extractor"":""standard_events_contact_summary_v1"",""geometry_rule"":""none_automatic; map via configured target_generators only"",""mean_degree_events"":23009.842105263157,""n_nodes"":228,""trace_id"":""oviedo_asturies_er_20160808"",""up_down_balanced"":false,""ups"":2623122}",standard_events_contact_summary_v1,,0,,0,,100
v2_trs_st_andrews_locshare_20111012_campus_compact_seed,campus_compact,trace_reference_synthetic,,st_andrews_locshare_20111012,campus_compact,2474080100,trace_reference_synthetic,trace:st_andrews_locshare_20111012|extractor:locshare_encounters_v1,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_trs_st_andrews_locshare_20111012_campus_compact_seed,2150301fb651c754,True,,"{""building_spacing_m"":60,""n_buildings"":15,""path_density"":0.6,""quad_size_m"":300,""ring_roads"":1}","{""building_spacing_m"":60,""contacts"":2395,""duration_seconds"":79,""extractor"":""locshare_encounters_v1"",""geometry_rule"":""parameterize campus_compact / clustered_communities only"",""inter_bridge_count"":2,""inter_gap_m"":200,""intra_density"":0.6,""n_buildings"":15,""n_clusters"":8,""n_nodes"":3573,""nodes_per_cluster"":10,""path_density"":0.6,""quad_size_m"":300,""ring_roads"":1,""trace_id"":""st_andrews_locshare_20111012""}",locshare_encounters_v1,,0,,0,,100
v2_trs_st_andrews_locshare_20111012_clustered_communities_seed,clustered_communities,trace_reference_synthetic,,st_andrews_locshare_20111012,clustered_communities,789713982,trace_reference_synthetic,trace:st_andrews_locshare_20111012|extractor:locshare_encounters_v1,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_trs_st_andrews_locshare_20111012_clustered_communities_seed,2150301fb651c754,True,,"{""inter_bridge_count"":2,""inter_gap_m"":200,""intra_density"":0.5,""n_clusters"":8,""nodes_per_cluster"":8}","{""building_spacing_m"":60,""contacts"":2395,""duration_seconds"":79,""extractor"":""locshare_encounters_v1"",""geometry_rule"":""parameterize campus_compact / clustered_communities only"",""inter_bridge_count"":2,""inter_gap_m"":200,""intra_density"":0.6,""n_buildings"":15,""n_clusters"":8,""n_nodes"":3573,""nodes_per_cluster"":10,""path_density"":0.6,""quad_size_m"":300,""ring_roads"":1,""trace_id"":""st_andrews_locshare_20111012""}",locshare_encounters_v1,,0,,0,,100
v2_trs_st_andrews_sassy_20110603_clustered_communities_seed,clustered_communities,trace_reference_synthetic,,st_andrews_sassy_20110603,clustered_communities,1282670843,trace_reference_synthetic,trace:st_andrews_sassy_20110603|extractor:sassy_encounters_v1,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_trs_st_andrews_sassy_20110603_clustered_communities_seed,2150301fb651c754,True,,"{""inter_bridge_count"":2,""inter_gap_m"":200,""intra_density"":0.7,""n_clusters"":3,""nodes_per_cluster"":8}","{""contact_duration_mean_s"":3.6431625454286327,""contacts"":112264,""duration_seconds"":6413284,""extractor"":""sassy_encounters_v1"",""geometry_rule"":""parameterize clustered_communities only"",""inter_bridge_count"":2,""inter_gap_m"":200,""intra_density"":0.7,""n_clusters"":3,""n_nodes"":25,""nodes_per_cluster"":8,""trace_id"":""st_andrews_sassy_20110603""}",sassy_encounters_v1,,0,,0,,100
v2_trs_upmc_rollernet_20090202_corridor_seed,corridor_linear,trace_reference_synthetic,,upmc_rollernet_20090202,corridor,3817211850,trace_reference_synthetic,trace:upmc_rollernet_20090202|extractor:rollernet_contacts_v1,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_trs_upmc_rollernet_20090202_corridor_seed,2150301fb651c754,True,,"{""branch_length_m"":200,""branch_prob"":0.1,""length_m"":3000,""width_m"":600}","{""branch_length_m"":200,""branch_prob"":0.1,""contact_duration_mean_s"":232.2521752911079,""contacts"":132511,""duration_seconds"":10140,""extractor"":""rollernet_contacts_v1"",""geometry_rule"":""parameterize corridor generator only"",""length_m"":3140,""n_nodes"":1112,""trace_id"":""upmc_rollernet_20090202"",""width_m"":600}",rollernet_contacts_v1,,0,,0,,100
v2_osm_cambridge_haggle_exact_500m_0m_0000,dense_urban_irregular,osm,cambridge_haggle,,,2187628956,osm,osm_anchor:cambridge_haggle,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_osm_cambridge_haggle_exact_500m_0m_0000,2150301fb651c754,True,,"{""_allow_partitioned"":false,""anchor_distance_m"":0.0,""anchor_label"":""Cambridge UK (Haggle)"",""center_lat"":52.205,""center_lon"":0.12,""crs"":""EPSG:27700"",""height_m"":500,""osm_network_type"":""all"",""variant_type"":""exact"",""width_m"":500,""window_size_m"":500.0}",,,,500,exact,0,all,100
v2_osm_dieselnet_amherst_offset_n_1000m_500m_0001,bus_route_urban_suburban,osm,dieselnet_amherst,,,972734276,osm,osm_anchor:dieselnet_amherst,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_osm_dieselnet_amherst_offset_n_1000m_500m_0001,2150301fb651c754,True,,"{""_allow_partitioned"":false,""anchor_distance_m"":500.0,""anchor_label"":""DieselNet / PVTA Amherst"",""center_lat"":42.384492,""center_lon"":-72.525,""crs"":""EPSG:32618"",""height_m"":1000,""osm_network_type"":""drive"",""variant_type"":""offset_n"",""width_m"":1000,""window_size_m"":1000.0}",,,umass_diesel_20080914,1000,offset_n,500,drive,100
