map_id,batch_target,source_type,anchor_id,anchor_label,archetype,generator_type,wkt_dir,roads_wkt,preview_png,metadata_json,world_size_x,world_size_y,crs,network_type,bbox_or_params,seed,generation_status,generation_notes
OSM_cambridge_haggle_offset_n_1500m_500m_0504,600,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,batch_0600/wkt/map_0504,batch_0600/wkt/map_0504/roads.wkt,previews/OSM_cambridge_haggle_offset_n_1500m_500m_0504.png,batch_0600/wkt/map_0504/metadata.json,1578,1638,EPSG:27700,all,"{""_allow_partitioned"":false,""_topology_flags"":[],""anchor_distance_m"":500.0,""center_lat"":52.209492,""center_lon"":0.12,""height_m"":1500,""osm_network_type"":""all"",""variant_type"":""offset_n"",""width_m"":1500,""window_size_m"":1500.0}",3011238674,OK,
OSM_cambridge_haggle_offset_n_1500m_500m_0980,1000,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,batch_1000/wkt/map_0980,batch_1000/wkt/map_0980/roads.wkt,previews/OSM_cambridge_haggle_offset_n_1500m_500m_0980.png,batch_1000/wkt/map_0980/metadata.json,1578,1638,EPSG:27700,all,"{""_allow_partitioned"":false,""_topology_flags"":[],""anchor_distance_m"":500.0,""center_lat"":52.209492,""center_lon"":0.12,""height_m"":1500,""osm_network_type"":""all"",""variant_type"":""offset_n"",""width_m"":1500,""window_size_m"":1500.0}",1174772648,OK,
OSM_cambridge_haggle_offset_n_1500m_500m_1459,1600,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,batch_1600/wkt/map_1459,,,batch_1600/wkt/map_1459/metadata.json,0,0,EPSG:27700,all,"{""_allow_partitioned"":false,""_topology_flags"":[],""anchor_distance_m"":500.0,""center_lat"":52.209492,""center_lon"":0.12,""height_m"":1500,""osm_network_type"":""all"",""variant_type"":""offset_n"",""width_m"":1500,""window_size_m"":1500.0}",583008067,FAIL_DOWNLOAD_TRANSIENT,No module named 'osmnx'
OSM_cambridge_haggle_offset_n_1500m_500m_1932,2000,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,batch_2000/wkt/map_1932,,,batch_2000/wkt/map_1932/metadata.json,0,0,EPSG:27700,all,"{""_allow_partitioned"":false,""_topology_flags"":[],""anchor_distance_m"":500.0,""center_lat"":52.209492,""center_lon"":0.12,""height_m"":1500,""osm_network_type"":""all"",""variant_type"":""offset_n"",""width_m"":1500,""window_size_m"":1500.0}",308348811,FAIL_DOWNLOAD_TRANSIENT,No module named 'osmnx'
OSM_cambridge_haggle_offset_n_2500m_1000m_0246,400,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,batch_0400/wkt/map_0246,batch_0400/wkt/map_0246/roads.wkt,previews/OSM_cambridge_haggle_offset_n_2500m_1000m_0246.png,batch_0400/wkt/map_0246/metadata.json,2623,2587,EPSG:27700,all,"{""_allow_partitioned"":false,""_topology_flags"":[],""anchor_distance_m"":1000.0,""center_lat"":52.213983,""center_lon"":0.12,""height_m"":2500,""osm_network_type"":""all"",""variant_type"":""offset_n"",""width_m"":2500,""window_size_m"":2500.0}",755823708,OK,
OSM_cambridge_haggle_offset_n_2500m_1000m_0712,800,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,batch_0800/wkt/map_0712,batch_0800/wkt/map_0712/roads.wkt,previews/OSM_cambridge_haggle_offset_n_2500m_1000m_0712.png,batch_0800/wkt/map_0712/metadata.json,2623,2587,EPSG:27700,all,"{""_allow_partitioned"":false,""_topology_flags"":[],""anchor_distance_m"":1000.0,""center_lat"":52.213983,""center_lon"":0.12,""height_m"":2500,""osm_network_type"":""all"",""variant_type"":""offset_n"",""width_m"":2500,""window_size_m"":2500.0}",3366616711,OK,
OSM_cambridge_haggle_offset_n_2500m_1000m_1192,1200,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,batch_1200/wkt/map_1192,batch_1200/wkt/map_1192/roads.wkt,previews/OSM_cambridge_haggle_offset_n_2500m_1000m_1192.png,batch_1200/wkt/map_1192/metadata.json,2623,2587,EPSG:27700,all,"{""_allow_partitioned"":false,""_topology_flags"":[],""anchor_distance_m"":1000.0,""center_lat"":52.213983,""center_lon"":0.12,""height_m"":2500,""osm_network_type"":""all"",""variant_type"":""offset_n"",""width_m"":2500,""window_size_m"":2500.0}",3909165947,OK,
OSM_cambridge_haggle_offset_n_2500m_1000m_1686,2000,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,batch_2000/wkt/map_1686,,,batch_2000/wkt/map_1686/metadata.json,0,0,EPSG:27700,all,"{""_allow_partitioned"":false,""_topology_flags"":[],""anchor_distance_m"":1000.0,""center_lat"":52.213983,""center_lon"":0.12,""height_m"":2500,""osm_network_type"":""all"",""variant_type"":""offset_n"",""width_m"":2500,""window_size_m"":2500.0}",3281413386,FAIL_DOWNLOAD_TRANSIENT,No module named 'osmnx'
OSM_cambridge_haggle_offset_n_2500m_1500m_0136,200,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,batch_0200/wkt/map_0136,batch_0200/wkt/map_0136/roads.wkt,previews/OSM_cambridge_haggle_offset_n_2500m_1500m_0136.png,batch_0200/wkt/map_0136/metadata.json,2607,2605,EPSG:27700,all,"{""_allow_partitioned"":false,""_topology_flags"":[],""anchor_distance_m"":1500.0,""center_lat"":52.218475,""center_lon"":0.12,""height_m"":2500,""osm_network_type"":""all"",""variant_type"":""offset_n"",""width_m"":2500,""window_size_m"":2500.0}",3024326242,OK,
OSM_cambridge_haggle_offset_n_2500m_1500m_0595,600,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,batch_0600/wkt/map_0595,batch_0600/wkt/map_0595/roads.wkt,previews/OSM_cambridge_haggle_offset_n_2500m_1500m_0595.png,batch_0600/wkt/map_0595/metadata.json,2607,2605,EPSG:27700,all,"{""_allow_partitioned"":false,""_topology_flags"":[],""anchor_distance_m"":1500.0,""center_lat"":52.218475,""center_lon"":0.12,""height_m"":2500,""osm_network_type"":""all"",""variant_type"":""offset_n"",""width_m"":2500,""window_size_m"":2500.0}",3735228947,OK,
