duplicate_scenario,duplicate_candidate_id,representative_scenario,representative_candidate_id,feature_set
SV1_C16527,C16527,SV1_C16287,C16287,core23
SV1_C16528,C16528,SV1_C16288,C16288,core23
SV1_C16529,C16529,SV1_C16289,C16289,core23
SV1_C16530,C16530,SV1_C16290,C16290,core23
SV1_C16531,C16531,SV1_C16291,C16291,core23
SV1_C16532,C16532,SV1_C16292,C16292,core23
SV1_C16533,C16533,SV1_C16293,C16293,core23
SV1_C16534,C16534,SV1_C16294,C16294,core23
SV1_C16535,C16535,SV1_C16295,C16295,core23
SV1_C16536,C16536,SV1_C01896,C01896,core23
SV1_C16537,C16537,SV1_C01897,C01897,core23
SV1_C16538,C16538,SV1_C01898,C01898,core23
SV1_C16539,C16539,SV1_C01899,C01899,core23
SV1_C16540,C16540,SV1_C01900,C01900,core23
SV1_C16541,C16541,SV1_C01901,C01901,core23
SV1_C16542,C16542,SV1_C01902,C01902,core23
SV1_C16543,C16543,SV1_C01903,C01903,core23
SV1_C16544,C16544,SV1_C01904,C01904,core23
SV1_C16545,C16545,SV1_C01905,C01905,core23
