duplicate_scenario,duplicate_candidate_id,representative_scenario,representative_candidate_id,feature_set
SV1_C94133,C94133,SV1_C94109,C94109,full46
SV1_C94134,C94134,SV1_C94110,C94110,full46
SV1_C94135,C94135,SV1_C94111,C94111,full46
SV1_C94136,C94136,SV1_C94112,C94112,full46
SV1_C94137,C94137,SV1_C94113,C94113,full46
SV1_C94138,C94138,SV1_C94114,C94114,full46
SV1_C94139,C94139,SV1_C94115,C94115,full46
SV1_C94140,C94140,SV1_C94116,C94116,full46
SV1_C94141,C94141,SV1_C94117,C94117,full46
SV1_C94142,C94142,SV1_C94118,C94118,full46
SV1_C94143,C94143,SV1_C94119,C94119,full46
SV1_C94144,C94144,SV1_C94120,C94120,full46
SV1_C94145,C94145,SV1_C94121,C94121,full46
SV1_C94146,C94146,SV1_C94122,C94122,full46
SV1_C94147,C94147,SV1_C94123,C94123,full46
SV1_C94148,C94148,SV1_C94124,C94124,full46
SV1_C94149,C94149,SV1_C94125,C94125,full46
SV1_C94150,C94150,SV1_C94126,C94126,full46
SV1_C94151,C94151,SV1_C94127,C94127,full46
SV1_C94248,C94248,SV1_C94224,C94224,full46
SV1_C94249,C94249,SV1_C94225,C94225,full46
SV1_C94250,C94250,SV1_C94226,C94226,full46
SV1_C94251,C94251,SV1_C94227,C94227,full46
SV1_C94252,C94252,SV1_C94228,C94228,full46
SV1_C94253,C94253,SV1_C94229,C94229,full46
SV1_C94254,C94254,SV1_C94230,C94230,full46
SV1_C94255,C94255,SV1_C94231,C94231,full46
SV1_C94256,C94256,SV1_C94232,C94232,full46
SV1_C94257,C94257,SV1_C94233,C94233,full46
SV1_C94258,C94258,SV1_C94234,C94234,full46
SV1_C94259,C94259,SV1_C94235,C94235,full46
SV1_C94260,C94260,SV1_C94236,C94236,full46
SV1_C94261,C94261,SV1_C94237,C94237,full46
SV1_C94262,C94262,SV1_C94238,C94238,full46
SV1_C94263,C94263,SV1_C94239,C94239,full46
SV1_C94264,C94264,SV1_C94240,C94240,full46
SV1_C94265,C94265,SV1_C94241,C94241,full46
SV1_C94266,C94266,SV1_C94242,C94242,full46
SV1_C94267,C94267,SV1_C94243,C94243,full46
SV1_C94268,C94268,SV1_C94244,C94244,full46
SV1_C94269,C94269,SV1_C94245,C94245,full46
SV1_C94270,C94270,SV1_C94246,C94246,full46
