scenario,N_hosts,contact_time_mean_s,inter_contact_time_mean_s,contact_time_per_min,total_encounters,inter_contact_time_proxy_s,betweenness_centrality,ratio_contact_nodes,popularity_top10_ratio,window_centrality_mean,encounters_top10_mean,sociability_top10_mean,availability_note,contact_hist_rows,intercontact_hist_rows,trace_nodes,scenario_end_time_s
S1_StrongCommunities_LimitedMixing__TP06_OneToMany,110,223.25439665428823,2767.2476966107233,38.52361111111111,27737.0,1.5574863900205502,5.127272727272727,0.5416180150125104,0.7472894078398666,25.546969696969697,752.4545454545455,0.013564093908038817,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,110,43200.0
S1_StrongCommunities_LimitedMixing__TP07_BurstWindow,110,228.2198986415141,2702.5716588475802,39.46388888888889,28414.0,1.5203772788062222,4.681818181818182,0.5497914929107588,0.7514595496246872,25.550757575757576,767.1818181818181,0.013500067188389846,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,110,43200.0
S1_StrongCommunities_LimitedMixing__TP08_HubTarget,110,223.25439665428823,2767.2476966107233,38.52361111111111,27737.0,1.5574863900205502,5.127272727272727,0.5416180150125104,0.7472894078398666,25.546969696969697,752.4545454545455,0.013564093908038817,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,110,43200.0
S1_StrongCommunities_LimitedMixing__TP09_Bimodal,110,228.97402027268035,2776.276851060366,38.91388888888889,28018.0,1.54186594332215,4.909090909090908,0.5456213511259381,0.74395329441201,22.997902097902095,756.0909090909091,0.013492949337763387,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,110,43200.0
S1_StrongCommunities_LimitedMixing__TP10_Storm,110,233.5649619189984,2734.0891442701304,39.025,28098.0,1.5374759769378603,5.109090909090909,0.5419516263552959,0.7381150959132611,23.744755244755247,747.3636363636364,0.013299231909097377,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,110,43200.0
S1_StrongCommunities_LimitedMixing__TP11_ManyToOne,110,223.25439665428823,2767.2476966107233,38.52361111111111,27737.0,1.5574863900205502,5.127272727272727,0.5416180150125104,0.7472894078398666,25.546969696969697,752.4545454545455,0.013564093908038817,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,110,43200.0
S1_StrongCommunities_LimitedMixing__TP12_GroupToGroup,110,226.6084355271752,2793.864552440316,38.28055555555556,27562.0,1.5673753718888324,4.581818181818182,0.55162635529608,0.7472894078398666,25.184848484848484,740.0909090909091,0.013425928979952635,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,110,43200.0
S2_WeakCommunities_HighMixing__TP01_Baseline,80,11.296781018588469,7238.876305379755,18.380555555555556,13234.0,3.26431917787517,0.475,0.9879746835443036,1.0,27.940625,370.875,0.014012203415445065,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,80,43200.0
S2_WeakCommunities_HighMixing__TP02_LowLoad,80,11.181870492557923,7376.385401754165,18.102777777777778,13034.0,3.314408470154979,0.5625000000000001,0.985759493670886,1.0,28.109374999999996,369.875,0.014188852232622371,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,80,43200.0
S2_WeakCommunities_HighMixing__TP03_ManySmall,80,11.563390345876144,7338.292070616401,18.270833333333332,13155.0,3.283922462941847,0.3875,0.9901898734177216,1.0,28.09479166666667,368.0,0.013987077156974535,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,80,43200.0
S2_WeakCommunities_HighMixing__TP04_FewLarge,80,11.349009824992295,7401.802774974761,18.094444444444445,13028.0,3.315934909425852,0.525,0.9867088607594937,1.0,28.09895833333333,370.125,0.014204981578139392,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,80,43200.0
S2_WeakCommunities_HighMixing__TP05_CriticalTTL,80,11.296781018588469,7238.876305379755,18.380555555555556,13234.0,3.26431917787517,0.475,0.9879746835443036,1.0,27.940625,370.875,0.014012203415445065,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,80,43200.0
S2_WeakCommunities_HighMixing__TP06_OneToMany,80,11.142511556240432,7381.234493574816,18.02777777777778,12980.0,3.3281972265023114,0.7874999999999999,0.9800632911392405,1.0,28.18645833333333,369.75,0.01424306625577812,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,80,43200.0
S2_WeakCommunities_HighMixing__TP07_BurstWindow,80,11.305730659025789,7417.595288598857,17.934722222222224,12913.0,3.3454658096491907,0.6624999999999999,0.9832278481012657,1.0,26.070192307692306,356.125,0.013789398280802292,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,80,43200.0
S2_WeakCommunities_HighMixing__TP08_HubTarget,80,11.142511556240432,7381.234493574816,18.02777777777778,12980.0,3.3281972265023114,0.7874999999999999,0.9800632911392405,1.0,28.18645833333333,369.75,0.01424306625577812,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,80,43200.0
S2_WeakCommunities_HighMixing__TP09_Bimodal,80,11.296781018588469,7238.876305379755,18.380555555555556,13234.0,3.26431917787517,0.475,0.9879746835443036,1.0,27.940625,370.875,0.014012203415445065,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,80,43200.0
S2_WeakCommunities_HighMixing__TP10_Storm,80,11.47012101715686,7379.196832897631,18.133333333333333,13056.0,3.3088235294117645,0.6249999999999999,0.9841772151898732,1.0,28.094791666666666,366.5,0.014035692401960783,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,80,43200.0
S2_WeakCommunities_HighMixing__TP11_ManyToOne,80,11.142511556240432,7381.234493574816,18.02777777777778,12980.0,3.3281972265023114,0.7874999999999999,0.9800632911392405,1.0,28.18645833333333,369.75,0.01424306625577812,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,80,43200.0
S2_WeakCommunities_HighMixing__TP12_GroupToGroup,80,11.428232069438128,7326.306562936357,18.241666666666667,13134.0,3.2891731384193696,0.6499999999999998,0.9835443037974685,1.0,28.034374999999997,371.625,0.014147441754225673,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,80,43200.0
S3_PeriodicMeetings_RegularRhythm__TP01_Baseline,50,23.78647017045455,9975.696955503505,3.911111111111111,2816.0,15.340909090909092,2.34,0.9044897959183673,0.9591836734693878,25.796666666666667,133.2,0.023650568181818182,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,50,43200.0
S3_PeriodicMeetings_RegularRhythm__TP02_LowLoad,50,23.78494318181818,9975.69800936768,3.911111111111111,2816.0,15.340909090909092,2.34,0.9044897959183673,0.9591836734693878,25.796666666666667,133.2,0.023650568181818182,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,50,43200.0
S3_PeriodicMeetings_RegularRhythm__TP03_ManySmall,50,24.00625222024867,9461.735626822156,3.9097222222222223,2815.0,15.346358792184725,2.5000000000000004,0.8979591836734693,0.963265306122449,25.813333333333336,131.4,0.023339253996447602,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,50,43200.0
S3_PeriodicMeetings_RegularRhythm__TP04_FewLarge,50,23.767305644302418,9987.785196021065,3.9125,2817.0,15.335463258785943,2.34,0.9044897959183673,0.9591836734693878,25.793333333333333,133.4,0.023677671281505146,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,50,43200.0
S3_PeriodicMeetings_RegularRhythm__TP05_CriticalTTL,50,23.78647017045455,9975.696955503505,3.911111111111111,2816.0,15.340909090909092,2.34,0.9044897959183673,0.9591836734693878,25.796666666666667,133.2,0.023650568181818182,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,50,43200.0
S3_PeriodicMeetings_RegularRhythm__TP06_OneToMany,50,23.64300317236516,9903.729442508711,3.9402777777777778,2837.0,15.227352837504407,2.2,0.910204081632653,0.9714285714285713,25.703333333333333,134.0,0.023616496298907295,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,50,43200.0
S3_PeriodicMeetings_RegularRhythm__TP07_BurstWindow,50,23.49608958407393,9545.761367621286,3.9069444444444446,2813.0,15.357269818698898,2.4600000000000004,0.899591836734694,0.9673469387755101,26.096666666666664,130.4,0.023178101670814074,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,50,43200.0
S3_PeriodicMeetings_RegularRhythm__TP08_HubTarget,50,23.64300317236516,9903.729442508711,3.9402777777777778,2837.0,15.227352837504407,2.2,0.910204081632653,0.9714285714285713,25.703333333333333,134.0,0.023616496298907295,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,50,43200.0
S3_PeriodicMeetings_RegularRhythm__TP09_Bimodal,50,23.78647017045455,9975.696955503505,3.911111111111111,2816.0,15.340909090909092,2.34,0.9044897959183673,0.9591836734693878,25.796666666666667,133.2,0.023650568181818182,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,50,43200.0
S3_PeriodicMeetings_RegularRhythm__TP10_Storm,50,24.39155381325737,9727.351550614396,3.897222222222222,2806.0,15.395580898075552,2.5599999999999996,0.8955102040816325,0.9551020408163267,25.741666666666664,129.6,0.02309337134711333,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,50,43200.0
