scenario_name,scenario_base,traffic_profile_id,sim_end_time_s,traffic_gen_start_s,traffic_gen_end_s,traffic_gen_fraction,traffic_gen_note,Group.msgTtl_minutes,msg_ttl_seconds,Report.warmup_s
U3_MicroMobility_HelsinkiMedium__TP03_ManySmall,U3_MicroMobility_HelsinkiMedium,TP03,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U3_MicroMobility_HelsinkiMedium__TP04_FewLarge,U3_MicroMobility_HelsinkiMedium,TP04,43200,0.0,43200.0,1.0,full_simulation,14400,864000,0
U3_MicroMobility_HelsinkiMedium__TP05_CriticalTTL,U3_MicroMobility_HelsinkiMedium,TP05,43200,0.0,43200.0,1.0,full_simulation,5,300,0
U3_MicroMobility_HelsinkiMedium__TP06_OneToMany,U3_MicroMobility_HelsinkiMedium,TP06,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U3_MicroMobility_HelsinkiMedium__TP07_BurstWindow,U3_MicroMobility_HelsinkiMedium,TP07,43200,8640,12096,0.08,burst_only,7200,432000,0
U3_MicroMobility_HelsinkiMedium__TP08_HubTarget,U3_MicroMobility_HelsinkiMedium,TP08,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U3_MicroMobility_HelsinkiMedium__TP09_Bimodal,U3_MicroMobility_HelsinkiMedium,TP09,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U3_MicroMobility_HelsinkiMedium__TP10_Storm,U3_MicroMobility_HelsinkiMedium,TP10,43200,0.0,43200.0,1.0,full_simulation,60,3600,0
U3_MicroMobility_HelsinkiMedium__TP11_ManyToOne,U3_MicroMobility_HelsinkiMedium,TP11,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U3_MicroMobility_HelsinkiMedium__TP12_GroupToGroup,U3_MicroMobility_HelsinkiMedium,TP12,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U4_CongestionHotspot_Manhattan__TP01_Baseline,U4_CongestionHotspot_Manhattan,TP01,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U4_CongestionHotspot_Manhattan__TP02_LowLoad,U4_CongestionHotspot_Manhattan,TP02,43200,0.0,43200.0,1.0,full_simulation,21600,1296000,0
U4_CongestionHotspot_Manhattan__TP03_ManySmall,U4_CongestionHotspot_Manhattan,TP03,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U4_CongestionHotspot_Manhattan__TP04_FewLarge,U4_CongestionHotspot_Manhattan,TP04,43200,0.0,43200.0,1.0,full_simulation,14400,864000,0
U4_CongestionHotspot_Manhattan__TP05_CriticalTTL,U4_CongestionHotspot_Manhattan,TP05,43200,0.0,43200.0,1.0,full_simulation,15,900,0
U4_CongestionHotspot_Manhattan__TP06_OneToMany,U4_CongestionHotspot_Manhattan,TP06,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U4_CongestionHotspot_Manhattan__TP07_BurstWindow,U4_CongestionHotspot_Manhattan,TP07,43200,8640,12096,0.08,burst_only,7200,432000,0
U4_CongestionHotspot_Manhattan__TP08_HubTarget,U4_CongestionHotspot_Manhattan,TP08,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U4_CongestionHotspot_Manhattan__TP09_Bimodal,U4_CongestionHotspot_Manhattan,TP09,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U4_CongestionHotspot_Manhattan__TP10_Storm,U4_CongestionHotspot_Manhattan,TP10,43200,0.0,43200.0,1.0,full_simulation,60,3600,0
U4_CongestionHotspot_Manhattan__TP11_ManyToOne,U4_CongestionHotspot_Manhattan,TP11,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U4_CongestionHotspot_Manhattan__TP12_GroupToGroup,U4_CongestionHotspot_Manhattan,TP12,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U5_WorkdayShort_HelsinkiMedium__TP01_Baseline,U5_WorkdayShort_HelsinkiMedium,TP01,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U5_WorkdayShort_HelsinkiMedium__TP02_LowLoad,U5_WorkdayShort_HelsinkiMedium,TP02,43200,0.0,43200.0,1.0,full_simulation,21600,1296000,0
U5_WorkdayShort_HelsinkiMedium__TP03_ManySmall,U5_WorkdayShort_HelsinkiMedium,TP03,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U5_WorkdayShort_HelsinkiMedium__TP04_FewLarge,U5_WorkdayShort_HelsinkiMedium,TP04,43200,0.0,43200.0,1.0,full_simulation,14400,864000,0
U5_WorkdayShort_HelsinkiMedium__TP05_CriticalTTL,U5_WorkdayShort_HelsinkiMedium,TP05,43200,0.0,43200.0,1.0,full_simulation,5,300,0
U5_WorkdayShort_HelsinkiMedium__TP06_OneToMany,U5_WorkdayShort_HelsinkiMedium,TP06,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U5_WorkdayShort_HelsinkiMedium__TP07_BurstWindow,U5_WorkdayShort_HelsinkiMedium,TP07,43200,8640,12096,0.08,burst_only,7200,432000,0
U5_WorkdayShort_HelsinkiMedium__TP08_HubTarget,U5_WorkdayShort_HelsinkiMedium,TP08,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U5_WorkdayShort_HelsinkiMedium__TP09_Bimodal,U5_WorkdayShort_HelsinkiMedium,TP09,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U5_WorkdayShort_HelsinkiMedium__TP10_Storm,U5_WorkdayShort_HelsinkiMedium,TP10,43200,0.0,43200.0,1.0,full_simulation,60,3600,0
