scenario,cluster
R6_SparseLongRange__TP01_Baseline,3
R6_SparseLongRange__TP02_LowLoad,3
R6_SparseLongRange__TP03_ManySmall,3
R6_SparseLongRange__TP04_FewLarge,3
R6_SparseLongRange__TP05_CriticalTTL,3
R6_SparseLongRange__TP06_OneToMany,3
R6_SparseLongRange__TP07_BurstWindow,3
R6_SparseLongRange__TP08_HubTarget,3
R6_SparseLongRange__TP09_Bimodal,3
R6_SparseLongRange__TP10_Storm,3
R6_SparseLongRange__TP11_ManyToOne,3
R6_SparseLongRange__TP12_GroupToGroup,3
R7_SparseTinyBuffer__TP01_Baseline,5
R7_SparseTinyBuffer__TP02_LowLoad,4
R7_SparseTinyBuffer__TP03_ManySmall,5
R7_SparseTinyBuffer__TP04_FewLarge,4
R7_SparseTinyBuffer__TP05_CriticalTTL,5
R7_SparseTinyBuffer__TP06_OneToMany,5
R7_SparseTinyBuffer__TP07_BurstWindow,5
R7_SparseTinyBuffer__TP08_HubTarget,5
R7_SparseTinyBuffer__TP09_Bimodal,5
R7_SparseTinyBuffer__TP10_Storm,5
R7_SparseTinyBuffer__TP11_ManyToOne,5
R7_SparseTinyBuffer__TP12_GroupToGroup,5
R8_IntermittentPower__TP01_Baseline,5
R8_IntermittentPower__TP02_LowLoad,5
R8_IntermittentPower__TP03_ManySmall,5
R8_IntermittentPower__TP04_FewLarge,5
R8_IntermittentPower__TP05_CriticalTTL,5
R8_IntermittentPower__TP06_OneToMany,5
R8_IntermittentPower__TP07_BurstWindow,5
R8_IntermittentPower__TP08_HubTarget,5
R8_IntermittentPower__TP09_Bimodal,5
R8_IntermittentPower__TP10_Storm,5
R8_IntermittentPower__TP11_ManyToOne,5
R8_IntermittentPower__TP12_GroupToGroup,5
R9_ExtremeRange_200m__TP01_Baseline,3
R9_ExtremeRange_200m__TP02_LowLoad,3
R9_ExtremeRange_200m__TP03_ManySmall,3
R9_ExtremeRange_200m__TP04_FewLarge,3
R9_ExtremeRange_200m__TP05_CriticalTTL,3
R9_ExtremeRange_200m__TP06_OneToMany,3
R9_ExtremeRange_200m__TP07_BurstWindow,3
R9_ExtremeRange_200m__TP08_HubTarget,3
R9_ExtremeRange_200m__TP09_Bimodal,3
R9_ExtremeRange_200m__TP10_Storm,3
R9_ExtremeRange_200m__TP11_ManyToOne,3
R9_ExtremeRange_200m__TP12_GroupToGroup,3
D1_ShelterHotspots_Clusters__TP01_Baseline,1
D1_ShelterHotspots_Clusters__TP02_LowLoad,1
D1_ShelterHotspots_Clusters__TP03_ManySmall,1
