scenario,family,scenario_base,tp,map_dataset,movement_models,n_hosts,delivery_ratio,overhead_ratio,drop_ratio,total_encounters,coverage_world_ratio,coverage_accessible_ratio,delivery_std_by_base,problem_flags,priority,recommended_action_hint
U3_MicroMobility_HelsinkiDowntown__TP09_Bimodal,01_urban,U3_MicroMobility_HelsinkiDowntown,TP09,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,151,0.2007,3740.0862,739.423875432526,10544.0,0.2984,1.0,0.19025984783177372,EXTREME_OVERHEAD|EXTREME_DROPS|MAP_TOO_LARGE,P0,change_map_or_worldSize
U3_MicroMobility_HelsinkiDowntown__TP10_Storm,01_urban,U3_MicroMobility_HelsinkiDowntown,TP10,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,151,0.0356,1321.6364,48.021386908619576,10154.0,0.3072,1.0,0.19025984783177372,EXTREME_OVERHEAD|MAP_TOO_LARGE,P0,change_map_or_worldSize
U3_MicroMobility_HelsinkiDowntown__TP11_ManyToOne,01_urban,U3_MicroMobility_HelsinkiDowntown,TP11,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,151,0.3351,985.9323,325.94329896907215,9994.0,0.3044,1.0,0.19025984783177372,EXTREME_OVERHEAD|EXTREME_DROPS|MAP_TOO_LARGE,P0,change_map_or_worldSize
U3_MicroMobility_HelsinkiDowntown__TP12_GroupToGroup,01_urban,U3_MicroMobility_HelsinkiDowntown,TP12,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,151,0.5481,1826.3731,995.8691206543969,10363.0,0.3084,1.0,0.19025984783177372,EXTREME_OVERHEAD|EXTREME_DROPS|MAP_TOO_LARGE,P0,change_map_or_worldSize
U4_CongestionHotspot_HelsinkiDowntown__TP01_Baseline,01_urban,U4_CongestionHotspot_HelsinkiDowntown,TP01,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.3577,72.733,0.0,2210.0,0.24480000000000002,1.0,0.190393555722367,MAP_TOO_LARGE,P1,change_map_or_worldSize
U4_CongestionHotspot_HelsinkiDowntown__TP02_LowLoad,01_urban,U4_CongestionHotspot_HelsinkiDowntown,TP02,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.3542,83.0882,0.0,2226.0,0.2516,1.0,0.190393555722367,MAP_TOO_LARGE,P1,change_map_or_worldSize
U4_CongestionHotspot_HelsinkiDowntown__TP03_ManySmall,01_urban,U4_CongestionHotspot_HelsinkiDowntown,TP03,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.3237,69.3329,0.0,2107.0,0.24,1.0,0.190393555722367,MAP_TOO_LARGE,P1,change_map_or_worldSize
U4_CongestionHotspot_HelsinkiDowntown__TP04_FewLarge,01_urban,U4_CongestionHotspot_HelsinkiDowntown,TP04,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.1955,734.1429,133.2122905027933,2127.0,0.252,1.0,0.190393555722367,EXTREME_OVERHEAD|EXTREME_DROPS|MAP_TOO_LARGE,P0,change_map_or_worldSize
U4_CongestionHotspot_HelsinkiDowntown__TP05_CriticalTTL,01_urban,U4_CongestionHotspot_HelsinkiDowntown,TP05,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.0224,72.0,2.589430894308943,2210.0,0.24480000000000002,1.0,0.190393555722367,MAP_TOO_LARGE,P1,change_map_or_worldSize
U4_CongestionHotspot_HelsinkiDowntown__TP06_OneToMany,01_urban,U4_CongestionHotspot_HelsinkiDowntown,TP06,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.5423,122.8707,29.016494845360825,2226.0,0.2516,1.0,0.190393555722367,EXTREME_OVERHEAD|MAP_TOO_LARGE,P0,change_map_or_worldSize
U4_CongestionHotspot_HelsinkiDowntown__TP07_BurstWindow,01_urban,U4_CongestionHotspot_HelsinkiDowntown,TP07,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.5082,74.5968,0.0,2254.0,0.24600000000000002,1.0,0.190393555722367,MAP_TOO_LARGE,P1,change_map_or_worldSize
U4_CongestionHotspot_HelsinkiDowntown__TP08_HubTarget,01_urban,U4_CongestionHotspot_HelsinkiDowntown,TP08,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.4361,337.7589,125.89484536082476,2226.0,0.2516,1.0,0.190393555722367,EXTREME_OVERHEAD|EXTREME_DROPS|MAP_TOO_LARGE,P0,change_map_or_worldSize
U4_CongestionHotspot_HelsinkiDowntown__TP09_Bimodal,01_urban,U4_CongestionHotspot_HelsinkiDowntown,TP09,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.2806,399.6909,98.26020408163264,2210.0,0.24480000000000002,1.0,0.190393555722367,EXTREME_OVERHEAD|EXTREME_DROPS|MAP_TOO_LARGE,P0,change_map_or_worldSize
