scenario,family,end_time,coverage_total,time_to_50pct,time_to_80pct,time_to_90pct,total_encounters,delivery_ratio,recommended_warmup,recommended_cutoff,recommended_useful_window,decision,justification
R6_SparseLongRange__TP05_CriticalTTL,04_rural,43200,0.1696,,,,435.0,0.066,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R6_SparseLongRange__TP06_OneToMany,04_rural,43200,0.1696,,,,435.0,0.9196,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R6_SparseLongRange__TP07_BurstWindow,04_rural,43200,0.1696,,,,435.0,1.0,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R6_SparseLongRange__TP08_HubTarget,04_rural,43200,0.1696,,,,435.0,0.734,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R6_SparseLongRange__TP09_Bimodal,04_rural,43200,0.1696,,,,435.0,0.705,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R6_SparseLongRange__TP10_Storm,04_rural,43200,0.1696,,,,435.0,0.3952,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R6_SparseLongRange__TP11_ManyToOne,04_rural,43200,0.1696,,,,435.0,0.9052,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R6_SparseLongRange__TP12_GroupToGroup,04_rural,43200,0.1696,,,,435.0,0.9284,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R7_SparseTinyBuffer__TP01_Baseline,04_rural,43200,0.18239999999999998,,,,1835.0,0.222,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R7_SparseTinyBuffer__TP02_LowLoad,04_rural,43200,0.18239999999999998,,,,1835.0,0.3711,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R7_SparseTinyBuffer__TP03_ManySmall,04_rural,43200,0.18239999999999998,,,,1835.0,0.3575,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R7_SparseTinyBuffer__TP04_FewLarge,04_rural,43200,0.18239999999999998,,,,1835.0,0.0,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R7_SparseTinyBuffer__TP05_CriticalTTL,04_rural,43200,0.18239999999999998,,,,1835.0,0.0332,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R7_SparseTinyBuffer__TP06_OneToMany,04_rural,43200,0.18239999999999998,,,,1835.0,0.132,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R7_SparseTinyBuffer__TP07_BurstWindow,04_rural,43200,0.18239999999999998,,,,1835.0,0.1611,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R7_SparseTinyBuffer__TP08_HubTarget,04_rural,43200,0.18239999999999998,,,,1835.0,0.1588,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R7_SparseTinyBuffer__TP09_Bimodal,04_rural,43200,0.18239999999999998,,,,1835.0,0.2699,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R7_SparseTinyBuffer__TP10_Storm,04_rural,43200,0.18239999999999998,,,,1836.0,0.0211,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R7_SparseTinyBuffer__TP11_ManyToOne,04_rural,43200,0.18239999999999998,,,,1835.0,0.1649,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R7_SparseTinyBuffer__TP12_GroupToGroup,04_rural,43200,0.18239999999999998,,,,1835.0,0.227,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R8_IntermittentPower__TP01_Baseline,04_rural,43200,0.1764,,,,808.0,0.7963,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R8_IntermittentPower__TP02_LowLoad,04_rural,43200,0.1764,,,,808.0,0.8229,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R8_IntermittentPower__TP03_ManySmall,04_rural,43200,0.1764,,,,808.0,0.7733,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R8_IntermittentPower__TP04_FewLarge,04_rural,43200,0.1764,,,,808.0,0.4749,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R8_IntermittentPower__TP05_CriticalTTL,04_rural,43200,0.1764,,,,808.0,0.0125,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R8_IntermittentPower__TP06_OneToMany,04_rural,43200,0.1764,,,,808.0,0.7907,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R8_IntermittentPower__TP07_BurstWindow,04_rural,43200,0.1764,,,,808.0,1.0,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R8_IntermittentPower__TP08_HubTarget,04_rural,43200,0.1764,,,,808.0,0.6845,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R8_IntermittentPower__TP09_Bimodal,04_rural,43200,0.1764,,,,808.0,0.5608,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R8_IntermittentPower__TP10_Storm,04_rural,43200,0.1764,,,,808.0,0.2017,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R8_IntermittentPower__TP11_ManyToOne,04_rural,43200,0.1764,,,,808.0,0.7969,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R8_IntermittentPower__TP12_GroupToGroup,04_rural,43200,0.1764,,,,808.0,0.7791,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R9_ExtremeRange_200m__TP01_Baseline,04_rural,43200,0.1844,,,,4118.0,0.9748,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R9_ExtremeRange_200m__TP02_LowLoad,04_rural,43200,0.1844,,,,4118.0,0.9792,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
