map_id,validation_status,reason,source_type,archetype
OSM_kumpula_campus_offset_e_1000m_1500m_1625,FAIL,osm_download_failed,osm,campus_compact
OSM_kumpula_campus_offset_e_1000m_1500m_1754,FAIL,osm_download_failed,osm,campus_compact
OSM_kumpula_campus_offset_e_1000m_1500m_1864,FAIL,osm_download_failed,osm,campus_compact
OSM_kumpula_campus_offset_e_1000m_1500m_1975,FAIL,osm_download_failed,osm,campus_compact
OSM_kumpula_campus_offset_e_1000m_200m_1291,FAIL,osm_download_failed,osm,campus_compact
OSM_kumpula_campus_offset_e_1000m_200m_1412,FAIL,osm_download_failed,osm,campus_compact
OSM_kumpula_campus_offset_e_1000m_200m_1526,FAIL,osm_download_failed,osm,campus_compact
OSM_kumpula_campus_offset_e_1000m_200m_1669,FAIL,osm_download_failed,osm,campus_compact
OSM_kumpula_campus_offset_e_1000m_200m_1785,FAIL,osm_download_failed,osm,campus_compact
OSM_kumpula_campus_offset_e_1000m_200m_1892,FAIL,osm_download_failed,osm,campus_compact
OSM_kumpula_campus_offset_e_1000m_500m_1208,FAIL,osm_download_failed,osm,campus_compact
OSM_kumpula_campus_offset_e_1000m_500m_1312,FAIL,osm_download_failed,osm,campus_compact
OSM_kumpula_campus_offset_e_1000m_500m_1439,FAIL,osm_download_failed,osm,campus_compact
OSM_kumpula_campus_offset_e_1000m_500m_1548,FAIL,osm_download_failed,osm,campus_compact
OSM_kumpula_campus_offset_e_1000m_500m_1696,FAIL,osm_download_failed,osm,campus_compact
OSM_kumpula_campus_offset_e_1000m_500m_1805,FAIL,osm_download_failed,osm,campus_compact
OSM_kumpula_campus_offset_e_1000m_500m_1915,FAIL,osm_download_failed,osm,campus_compact
OSM_lapland_rural_sparse_offset_s_2500m_1000m_1242,FAIL,osm_download_failed,osm,rural_roads
OSM_lapland_rural_sparse_offset_s_2500m_1000m_1353,FAIL,osm_download_failed,osm,rural_roads
OSM_lapland_rural_sparse_offset_s_2500m_1000m_1469,FAIL,osm_download_failed,osm,rural_roads
