# Escenarios a diversificar (core 23) — aparecen en pares con |r| >= 0.7 en espacio de 23 features
# Referencia para investigación. Total: 719 escenarios.

D4_MedicalTriage_TwoClasses__TP10_Storm  (# pares |r|>=0.7 en core23: 32)
C1_Campus_ClassChange__TP10_Storm  (# pares |r|>=0.7 en core23: 32)
T3_MixedBimodal_SmallAndLarge__TP04_FewLarge  (# pares |r|>=0.7 en core23: 31)
S3_PeriodicMeetings_RegularRhythm__TP04_FewLarge  (# pares |r|>=0.7 en core23: 31)
C3_Hackathon_24h__TP01_Baseline  (# pares |r|>=0.7 en core23: 31)
T2_FewHugeMsgs_LowRate__TP02_LowLoad  (# pares |r|>=0.7 en core23: 31)
T13_Buffer_256k__TP02_LowLoad  (# pares |r|>=0.7 en core23: 31)
T7_TargetedToHubs_FewDestinations__TP04_FewLarge  (# pares |r|>=0.7 en core23: 31)
V1_TaxiLow_HelsinkiMedium__TP10_Storm  (# pares |r|>=0.7 en core23: 31)
D4_MedicalTriage_TwoClasses__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 31)
R7_SparseTinyBuffer__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 31)
C1_Campus_ClassChange__TP02_LowLoad  (# pares |r|>=0.7 en core23: 31)
T5_VeryLongTtl_6to24h__TP04_FewLarge  (# pares |r|>=0.7 en core23: 31)
C3_Hackathon_24h__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 31)
T3_MixedBimodal_SmallAndLarge__TP02_LowLoad  (# pares |r|>=0.7 en core23: 31)
R8_IntermittentPower__TP02_LowLoad  (# pares |r|>=0.7 en core23: 31)
V5_CarOwnership_100_HelsinkiMedium__TP03_ManySmall  (# pares |r|>=0.7 en core23: 31)
T5_VeryLongTtl_6to24h__TP02_LowLoad  (# pares |r|>=0.7 en core23: 31)
R10_TinyRange_5m__TP02_LowLoad  (# pares |r|>=0.7 en core23: 31)
C3_Hackathon_24h__TP03_ManySmall  (# pares |r|>=0.7 en core23: 31)
T2_FewHugeMsgs_LowRate__TP04_FewLarge  (# pares |r|>=0.7 en core23: 31)
T5_VeryLongTtl_6to24h__TP07_BurstWindow  (# pares |r|>=0.7 en core23: 31)
T7_TargetedToHubs_FewDestinations__TP02_LowLoad  (# pares |r|>=0.7 en core23: 31)
V5_CarOwnership_100_HelsinkiMedium__TP01_Baseline  (# pares |r|>=0.7 en core23: 31)
D3_Aftershock_ErraticMobility__TP04_FewLarge  (# pares |r|>=0.7 en core23: 31)
R8_IntermittentPower__TP04_FewLarge  (# pares |r|>=0.7 en core23: 31)
D3_Aftershock_ErraticMobility__TP02_LowLoad  (# pares |r|>=0.7 en core23: 31)
T9_BufferStress_SmallBufferHighTraffic__TP02_LowLoad  (# pares |r|>=0.7 en core23: 30)
R7_SparseTinyBuffer__TP04_FewLarge  (# pares |r|>=0.7 en core23: 30)
V5_CarOwnership_100_HelsinkiMedium__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 30)
T4_VeryShortTtl_5to10min__TP04_FewLarge  (# pares |r|>=0.7 en core23: 30)
D3_Aftershock_ErraticMobility__TP09_Bimodal  (# pares |r|>=0.7 en core23: 30)
T3_MixedBimodal_SmallAndLarge__TP07_BurstWindow  (# pares |r|>=0.7 en core23: 30)
T4_VeryShortTtl_5to10min__TP02_LowLoad  (# pares |r|>=0.7 en core23: 30)
S5_TwoLayer_StudentsStaff__TP02_LowLoad  (# pares |r|>=0.7 en core23: 30)
R5_MountainRescue__TP07_BurstWindow  (# pares |r|>=0.7 en core23: 30)
S5_TwoLayer_StudentsStaff__TP04_FewLarge  (# pares |r|>=0.7 en core23: 30)
S5_TwoLayer_StudentsStaff__TP07_BurstWindow  (# pares |r|>=0.7 en core23: 30)
D3_Aftershock_ErraticMobility__TP07_BurstWindow  (# pares |r|>=0.7 en core23: 30)
T1_ManySmallMsgs_HighRate__TP04_FewLarge  (# pares |r|>=0.7 en core23: 30)
R10_TinyRange_5m__TP04_FewLarge  (# pares |r|>=0.7 en core23: 30)
V2_TaxiHigh_HelsinkiMedium__TP01_Baseline  (# pares |r|>=0.7 en core23: 30)
S2_WeakCommunities_HighMixing__TP02_LowLoad  (# pares |r|>=0.7 en core23: 30)
V5_CarOwnership_100_HelsinkiMedium__TP06_OneToMany  (# pares |r|>=0.7 en core23: 30)
D3_Aftershock_ErraticMobility__TP10_Storm  (# pares |r|>=0.7 en core23: 30)
R7_SparseTinyBuffer__TP02_LowLoad  (# pares |r|>=0.7 en core23: 30)
D4_MedicalTriage_TwoClasses__TP02_LowLoad  (# pares |r|>=0.7 en core23: 30)
R8_IntermittentPower__TP07_BurstWindow  (# pares |r|>=0.7 en core23: 30)
C5_Library_Quiet__TP10_Storm  (# pares |r|>=0.7 en core23: 30)
T6_UniformSources_RandomFromTo__TP07_BurstWindow  (# pares |r|>=0.7 en core23: 30)
S4_RandomMixing_NoHotspots__TP02_LowLoad  (# pares |r|>=0.7 en core23: 30)
R5_MountainRescue__TP09_Bimodal  (# pares |r|>=0.7 en core23: 30)
V5_CarOwnership_100_HelsinkiMedium__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 30)
V5_CarOwnership_100_HelsinkiMedium__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 30)
C3_Hackathon_24h__TP10_Storm  (# pares |r|>=0.7 en core23: 30)
C2_ExamDay_LongStays__TP02_LowLoad  (# pares |r|>=0.7 en core23: 30)
S4_RandomMixing_NoHotspots__TP07_BurstWindow  (# pares |r|>=0.7 en core23: 30)
T2_FewHugeMsgs_LowRate__TP07_BurstWindow  (# pares |r|>=0.7 en core23: 30)
D7_HighLoad_TrafficStorm__TP02_LowLoad  (# pares |r|>=0.7 en core23: 30)
D4_MedicalTriage_TwoClasses__TP04_FewLarge  (# pares |r|>=0.7 en core23: 30)
R10_TinyRange_5m__TP10_Storm  (# pares |r|>=0.7 en core23: 30)
S4_RandomMixing_NoHotspots__TP04_FewLarge  (# pares |r|>=0.7 en core23: 30)
V5_CarOwnership_100_HelsinkiMedium__TP10_Storm  (# pares |r|>=0.7 en core23: 30)
S4_RandomMixing_NoHotspots__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 30)
V5_CarOwnership_100_HelsinkiMedium__TP08_HubTarget  (# pares |r|>=0.7 en core23: 30)
R10_TinyRange_5m__TP09_Bimodal  (# pares |r|>=0.7 en core23: 30)
C1_Campus_ClassChange__TP04_FewLarge  (# pares |r|>=0.7 en core23: 30)
D4_MedicalTriage_TwoClasses__TP07_BurstWindow  (# pares |r|>=0.7 en core23: 30)
T7_TargetedToHubs_FewDestinations__TP07_BurstWindow  (# pares |r|>=0.7 en core23: 30)
R5_MountainRescue__TP04_FewLarge  (# pares |r|>=0.7 en core23: 30)
S4_RandomMixing_NoHotspots__TP09_Bimodal  (# pares |r|>=0.7 en core23: 30)
R8_IntermittentPower__TP09_Bimodal  (# pares |r|>=0.7 en core23: 30)
R10_TinyRange_5m__TP07_BurstWindow  (# pares |r|>=0.7 en core23: 30)
R5_MountainRescue__TP02_LowLoad  (# pares |r|>=0.7 en core23: 30)
T13_Buffer_256k__TP04_FewLarge  (# pares |r|>=0.7 en core23: 29)
D6_ShortTtlCritical_5to10min__TP04_FewLarge  (# pares |r|>=0.7 en core23: 29)
S3_PeriodicMeetings_RegularRhythm__TP07_BurstWindow  (# pares |r|>=0.7 en core23: 29)
C2_ExamDay_LongStays__TP04_FewLarge  (# pares |r|>=0.7 en core23: 29)
