scenario_name,candidate_id,max_abs_r_vs_selected
SV1_C99031,C99031,0.9594724377128023
SV1_C36618,C36618,0.9367130418616776
SV1_C70232,C70232,0.8955434609097829
SV1_C63017,C63017,0.8817185631335572
SV1_C45013,C45013,0.8337260229004831
SV1_C89404,C89404,0.8896842724821772
SV1_C67214,C67214,0.9312626499958738
SV1_C12044,C12044,0.8490358674316042
SV1_C55313,C55313,0.7394498999951232
SV1_C09074,C09074,0.9479554011736326
SV1_C87079,C87079,0.8168585293785984
SV1_C28203,C28203,0.7576412368052853
SV1_C99047,C99047,0.7498487455002613
SV1_C49210,C49210,0.8234283100234345
SV1_C11440,C11440,0.754552603575929
SV1_C43807,C43807,0.998213680916095
SV1_C91816,C91816,0.9417293305423253
SV1_C70221,C70221,0.9890521983764016
SV1_C25233,C25233,0.9861638096206613
SV1_C97228,C97228,0.8469839314509773
SV1_C75686,C75686,0.8688570328919633
SV1_C43893,C43893,0.7587667808347521
SV1_C27015,C27015,0.9123961682206118
SV1_C10893,C10893,0.862540504293229
SV1_C31808,C31808,0.8792763614149928
SV1_C99076,C99076,0.897232523150143
SV1_C25916,C25916,0.8629484270701765
SV1_C48088,C48088,0.824930208089926
SV1_C49253,C49253,0.9535792403852608
SV1_C92487,C92487,0.9121432305949324
SV1_C98414,C98414,0.9561488644199292
SV1_C21637,C21637,0.9509558720048392
SV1_C70246,C70246,0.8404040748756818
SV1_C86473,C86473,0.8114516125851473
SV1_C97204,C97204,0.998697444241459
SV1_C87624,C87624,0.7457785257177982
SV1_C07857,C07857,0.795859811481722
SV1_C51686,C51686,0.8829870238811465
SV1_C99605,C99605,0.9455180233509893
SV1_C98485,C98485,0.9620359625903552
SV1_C30003,C30003,0.8839479277631401
SV1_C81686,C81686,0.8523566926275286
SV1_C99090,C99090,0.9044121239111945
SV1_C96024,C96024,0.7857198155623472
SV1_C40806,C40806,0.7906707040139435
SV1_C30606,C30606,0.9247442685004589
SV1_C96005,C96005,0.987367193583255
SV1_C45024,C45024,0.8029759229267536
SV1_C98476,C98476,0.9129737335984716
SV1_C09055,C09055,0.8972903241397449
SV1_C80502,C80502,0.7553322011501356
SV1_C08502,C08502,0.8141632460117333
SV1_C95517,C95517,0.7622859313125443
SV1_C28247,C28247,0.7092729650582305
SV1_C00637,C00637,0.9806369481146778
SV1_C79295,C79295,0.7626902835239647
SV1_C15089,C15089,0.7994494365953014
SV1_C07229,C07229,0.7716439271682298
SV1_C43898,C43898,0.9707806803334605
SV1_C18077,C18077,0.772785978479716
SV1_C70203,C70203,0.7321440461824386
SV1_C56407,C56407,0.8914976426199003
SV1_C00707,C00707,0.7893861908191816
SV1_C55303,C55303,0.8784235900506311
SV1_C27077,C27077,0.9061890301559102
SV1_C49901,C49901,0.7442444404999236
SV1_C77435,C77435,0.9443733423016697
SV1_C41413,C41413,0.8390623803005961
SV1_C47434,C47434,0.7512939726352441
SV1_C18024,C18024,0.8372786255088231
SV1_C92464,C92464,0.994131675754938
SV1_C40201,C40201,0.8154240909023625
SV1_C96018,C96018,0.9256619352584747
