# Escenarios a diversificar (aparecen en pares con |r| >= 0.7)
# Generado por run_analysis.py --phase correlation. Total: 540 escenarios.
# Criterio: trabajar en estos para que su vector de features difiera del resto y baje |r|.

C4_CampusEvent_IngressEgress__TP11_ManyToOne  (# pares con |r|>=0.7: 15)
R11_SpeedExtremeLow__TP03_ManySmall  (# pares con |r|>=0.7: 15)
S5_TwoLayer_StudentsStaff__TP06_OneToMany  (# pares con |r|>=0.7: 15)
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline  (# pares con |r|>=0.7: 15)
C6_EmergencyDrill_Evacuation__TP08_HubTarget  (# pares con |r|>=0.7: 15)
D1_ShelterHotspots_Clusters__TP11_ManyToOne  (# pares con |r|>=0.7: 15)
V1_TaxiLow_ManhattanMidtownGrid__TP05_CriticalTTL  (# pares con |r|>=0.7: 15)
R2_VillagesTrails_ThreeClusters__TP06_OneToMany  (# pares con |r|>=0.7: 15)
D4_MedicalTriage_TwoClasses__TP09_Bimodal  (# pares con |r|>=0.7: 15)
R2_VillagesTrails_ThreeClusters__TP11_ManyToOne  (# pares con |r|>=0.7: 15)
U7_HighTimeVariance_HelsinkiDowntown__TP08_HubTarget  (# pares con |r|>=0.7: 15)
R9_ExtremeRange_200m__TP12_GroupToGroup  (# pares con |r|>=0.7: 15)
D2_PartitionedCity_MuleBridge__TP11_ManyToOne  (# pares con |r|>=0.7: 15)
D1_ShelterHotspots_Clusters__TP06_OneToMany  (# pares con |r|>=0.7: 15)
V1_TaxiLow_ManhattanMidtownGrid__TP11_ManyToOne  (# pares con |r|>=0.7: 15)
R9_ExtremeRange_200m__TP06_OneToMany  (# pares con |r|>=0.7: 15)
V1_TaxiLow_ManhattanMidtownGrid__TP06_OneToMany  (# pares con |r|>=0.7: 15)
S4_RandomMixing_NoHotspots__TP06_OneToMany  (# pares con |r|>=0.7: 15)
S4_RandomMixing_NoHotspots__TP08_HubTarget  (# pares con |r|>=0.7: 15)
R9_ExtremeRange_200m__TP11_ManyToOne  (# pares con |r|>=0.7: 15)
S3_PeriodicMeetings_RegularRhythm__TP02_LowLoad  (# pares con |r|>=0.7: 15)
R9_ExtremeRange_200m__TP08_HubTarget  (# pares con |r|>=0.7: 15)
U3_MicroMobility_HelsinkiDowntown__TP09_Bimodal  (# pares con |r|>=0.7: 15)
C4_CampusEvent_IngressEgress__TP08_HubTarget  (# pares con |r|>=0.7: 15)
R2_VillagesTrails_ThreeClusters__TP08_HubTarget  (# pares con |r|>=0.7: 15)
U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP11_ManyToOne  (# pares con |r|>=0.7: 15)
S5_TwoLayer_StudentsStaff__TP12_GroupToGroup  (# pares con |r|>=0.7: 15)
R6_SparseLongRange__TP06_OneToMany  (# pares con |r|>=0.7: 15)
D2_PartitionedCity_MuleBridge__TP12_GroupToGroup  (# pares con |r|>=0.7: 15)
U7_HighTimeVariance_HelsinkiDowntown__TP11_ManyToOne  (# pares con |r|>=0.7: 15)
C6_EmergencyDrill_Evacuation__TP06_OneToMany  (# pares con |r|>=0.7: 15)
D2_PartitionedCity_MuleBridge__TP06_OneToMany  (# pares con |r|>=0.7: 15)
D8_InfrastructureReturns_BackboneLinks__TP01_Baseline  (# pares con |r|>=0.7: 15)
S2_WeakCommunities_HighMixing__TP01_Baseline  (# pares con |r|>=0.7: 15)
S5_TwoLayer_StudentsStaff__TP11_ManyToOne  (# pares con |r|>=0.7: 15)
U1_CBD_Commuting_HelsinkiDowntown__TP03_ManySmall  (# pares con |r|>=0.7: 15)
U7_HighTimeVariance_HelsinkiDowntown__TP06_OneToMany  (# pares con |r|>=0.7: 15)
S4_RandomMixing_NoHotspots__TP12_GroupToGroup  (# pares con |r|>=0.7: 15)
U5_WorkdayShort_HelsinkiDowntown__TP03_ManySmall  (# pares con |r|>=0.7: 15)
R6_SparseLongRange__TP08_HubTarget  (# pares con |r|>=0.7: 15)
C4_CampusEvent_IngressEgress__TP06_OneToMany  (# pares con |r|>=0.7: 15)
U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP06_OneToMany  (# pares con |r|>=0.7: 15)
R6_SparseLongRange__TP12_GroupToGroup  (# pares con |r|>=0.7: 15)
R2_VillagesTrails_ThreeClusters__TP12_GroupToGroup  (# pares con |r|>=0.7: 15)
D2_PartitionedCity_MuleBridge__TP08_HubTarget  (# pares con |r|>=0.7: 15)
C6_EmergencyDrill_Evacuation__TP11_ManyToOne  (# pares con |r|>=0.7: 15)
U3_MicroMobility_HelsinkiDowntown__TP04_FewLarge  (# pares con |r|>=0.7: 15)
U3_MicroMobility_HelsinkiDowntown__TP07_BurstWindow  (# pares con |r|>=0.7: 14)
C2_ExamDay_LongStays__TP01_Baseline  (# pares con |r|>=0.7: 14)
R1_Rural_SparseSPMM__TP03_ManySmall  (# pares con |r|>=0.7: 14)
C4_CampusEvent_IngressEgress__TP12_GroupToGroup  (# pares con |r|>=0.7: 14)
V2_TaxiHigh_ManhattanMidtownGrid__TP10_Storm  (# pares con |r|>=0.7: 14)
V2_TaxiHigh_ManhattanMidtownGrid__TP06_OneToMany  (# pares con |r|>=0.7: 14)
U5_WorkdayShort_HelsinkiDowntown__TP05_CriticalTTL  (# pares con |r|>=0.7: 14)
V2_TaxiHigh_ManhattanMidtownGrid__TP11_ManyToOne  (# pares con |r|>=0.7: 14)
