# Escenarios a diversificar (core 23) — aparecen en pares con |r| >= 0.7 en espacio de 23 features
# Referencia para investigación. Total: 540 escenarios.

R10_TinyRange_5m__TP08_HubTarget  (# pares |r|>=0.7 en core23: 24)
R10_TinyRange_5m__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 24)
R10_TinyRange_5m__TP03_ManySmall  (# pares |r|>=0.7 en core23: 24)
R10_TinyRange_5m__TP06_OneToMany  (# pares |r|>=0.7 en core23: 24)
R10_TinyRange_5m__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 24)
D4_MedicalTriage_TwoClasses__TP04_FewLarge  (# pares |r|>=0.7 en core23: 24)
U3_MicroMobility_HelsinkiDowntown__TP06_OneToMany  (# pares |r|>=0.7 en core23: 23)
S2_WeakCommunities_HighMixing__TP06_OneToMany  (# pares |r|>=0.7 en core23: 23)
R11_SpeedExtremeLow__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 23)
R5_MountainRescue__TP08_HubTarget  (# pares |r|>=0.7 en core23: 23)
U3_MicroMobility_HelsinkiDowntown__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 23)
S2_WeakCommunities_HighMixing__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 23)
C3_Hackathon_24h__TP10_Storm  (# pares |r|>=0.7 en core23: 23)
R9_ExtremeRange_200m__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 23)
S1_StrongCommunities_SeparateClusters__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 23)
R9_ExtremeRange_200m__TP01_Baseline  (# pares |r|>=0.7 en core23: 23)
R9_ExtremeRange_200m__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 23)
R5_MountainRescue__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 23)
S2_WeakCommunities_HighMixing__TP08_HubTarget  (# pares |r|>=0.7 en core23: 23)
R5_MountainRescue__TP06_OneToMany  (# pares |r|>=0.7 en core23: 23)
U3_MicroMobility_HelsinkiDowntown__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 23)
D4_MedicalTriage_TwoClasses__TP07_BurstWindow  (# pares |r|>=0.7 en core23: 23)
R9_ExtremeRange_200m__TP06_OneToMany  (# pares |r|>=0.7 en core23: 23)
D4_MedicalTriage_TwoClasses__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 23)
S1_StrongCommunities_SeparateClusters__TP10_Storm  (# pares |r|>=0.7 en core23: 23)
C1_Campus_ClassChange__TP02_LowLoad  (# pares |r|>=0.7 en core23: 23)
S2_WeakCommunities_HighMixing__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 23)
U3_MicroMobility_HelsinkiDowntown__TP08_HubTarget  (# pares |r|>=0.7 en core23: 23)
C5_Library_Quiet__TP08_HubTarget  (# pares |r|>=0.7 en core23: 23)
R9_ExtremeRange_200m__TP08_HubTarget  (# pares |r|>=0.7 en core23: 23)
R11_SpeedExtremeLow__TP10_Storm  (# pares |r|>=0.7 en core23: 23)
R5_MountainRescue__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 23)
C1_Campus_ClassChange__TP04_FewLarge  (# pares |r|>=0.7 en core23: 22)
C3_Hackathon_24h__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 22)
C2_ExamDay_LongStays__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 22)
C5_Library_Quiet__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 22)
R9_ExtremeRange_200m__TP03_ManySmall  (# pares |r|>=0.7 en core23: 22)
D3_Aftershock_ErraticMobility__TP04_FewLarge  (# pares |r|>=0.7 en core23: 22)
C5_Library_Quiet__TP06_OneToMany  (# pares |r|>=0.7 en core23: 22)
